@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
0.98584, 6.03199e-05, 0.000976563, 6.91414e-06, 58.3125, 0.000414133, 0.0424805, 0.0101089, 52, 20, 38, 26, 0.964355, -0.00588989, 1.00684, 0.00421906, stationary
0.984863, -0.000397921, 0.00146484, 5.00679e-06, 58.2188, 0.000310898, 0.0380859, 0.00932312, 60, 26, 46, 22, 0.967773, -0.00430679, 1.00586, 0.00501251, stationary
0.989746, 0.000351667, 0, 6.19888e-06, 58.4063, 0.000380516, 0.0507813, 0.0107269, 48, 14, 39, 24, 0.963867, -0.00501251, 1.01465, 0.00571442, stationary
0.983887, -0.000213265, 0.00146484, 7.80821e-06, 58.1563, 0.000472784, 0.0439453, 0.0130157, 38, 18, 38, 17, 0.964844, -0.00632858, 1.00879, 0.00668335, stationary
0.983887, -0.000307083, 0, 1.03116e-05, 58.0625, 0.000627041, 0.0571289, 0.0133667, 58, 20, 41, 23, 0.959473, -0.00672531, 1.0166, 0.00663757, stationary
0.987793, 0.000245333, 0, 1.3113e-05, 58.375, 0.000789165, 0.0498047, 0.0189056, 50, 22, 35, 21, 0.956055, -0.00641632, 1.00586, 0.0124817, stationary
0.986816, -0.000144005, 0, 9.89437e-06, 58.125, 0.000592709, 0.0512695, 0.0128326, 52, 24, 38, 18, 0.95752, -0.00641632, 1.00879, 0.00641632, stationary
0.986816, -0.000111759, 0.000488281, 7.62939e-06, 58.4063, 0.000458241, 0.0444336, 0.0111694, 48, 24, 42, 20, 0.962402, -0.0054512, 1.00684, 0.00571442, stationary
0.983887, -0.000370264, 0, 8.9407e-06, 57.875, 0.000542641, 0.0551758, 0.0115204, 56, 26, 37, 17, 0.955566, -0.00576019, 1.01074, 0.00576019, stationary
0.982422, -6.75917e-05, 0, 6.73532e-06, 57.7188, 0.000403404, 0.0629883, 0.0112534, 52, 30, 39, 24, 0.950684, -0.00510025, 1.01367, 0.00615311, stationary
0.987793, 0.000106633, 0, 4.58956e-06, 58.125, 0.000273466, 0.0507813, 0.009758, 44, 34, 39, 19, 0.960938, -0.00404358, 1.01172, 0.00571442, stationary
0.987305, -0.000172138, 0, 1.54376e-05, 58.25, 0.000926971, 0.0654297, 0.0166168, 56, 22, 39, 15, 0.957031, -0.00698853, 1.02246, 0.0096283, stationary
0.984375, -0.0004282, 0, 1.09673e-05, 58.125, 0.000668049, 0.0463867, 0.0131912, 40, 24, 39, 16, 0.960449, -0.00712204, 1.00684, 0.00606537, stationary
0.98584, 0.00022161, 0, 1.53184e-05, 58.1875, 0.000921726, 0.0498047, 0.0141068, 46, 16, 38, 17, 0.952148, -0.00804138, 1.00195, 0.00606537, stationary
0.98584, -0.000323057, 0.000976563, 1.38283e-05, 58.3125, 0.000835896, 0.0537109, 0.0136261, 60, 20, 41, 19, 0.957031, -0.00637436, 1.01074, 0.00725174, stationary
0.988281, 7.51019e-06, 0, 1.18017e-05, 58.4688, 0.000706673, 0.0522461, 0.016571, 48, 32, 31, 20, 0.958496, -0.00786591, 1.01074, 0.00870514, stationary
