A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
191	883	-232	-7.83125	15.1375	-3.43
201	953	-250	-8.155	16.5988	3.12375
179	962	-238	-3.1675	10.9375	5.845
157	934	-212	0.39375	-3.8325	-2.8175
197	924	-214	6.0725	-10.43	-14.7525
205	896	-222	14.6475	3.52625	-15.3913
211	893	-235	18.5763	23.205	-6.825
218	1069	-321	17.43	34.6063	-3.1675
242	1239	-382	16.1175	47.0225	-4.2525
134	995	-421	16.2575	62.0988	-9.1525
92	992	-457	16.24	76.3525	-17.4475
106	1075	-465	17.36	87.1675	-22.8375
71	1014	-425	20.5625	82.0663	-20.2213
38	897	-327	19.3813	69.7988	-15.8988
18	810	-253	13.335	61.495	-15.4525
18	787	-219	13.9563	45.2288	-17.9113
70	812	-231	15.68	37.905	-9.63375
97	856	-262	11.9438	41.44	-3.84125
84	885	-274	4.43625	46.69	-15.4438
47	872	-277	-4.76	54.1013	-21.4375
77	928	-309	-8.8025	55.2388	-19.1363
116	976	-313	-7.2975	50.9513	-20.9913
172	1095	-327	0.25375	47.8188	-19.7663
146	1180	-276	7.37625	43.6188	-13.3525
107	1216	-140	7.1225	37.3625	-2.065
107	970	-32	3.045	31.29	7.30625
48	897	-3	2.91375	22.5663	9.56375
19	956	-36	4.2875	14.5425	7.805
9	969	-86	0.3675	11.4713	4.725
21	873	-136	-7	12.6	2.56375
86	881	-176	-9.09125	16.6163	7.7175
96	882	-188	-7.28875	21.945	13.9038
102	906	-193	-6.16	26.635	16.0125
96	920	-207	0.81375	30.6513	9.51125
88	927	-217	12.215	28.5163	-3.35125
138	950	-226	24.7275	19.6	-8.715
156	975	-227	33.3813	13.615	-3.6575
133	937	-230	34.2737	17.1238	1.82
85	922	-230	30.2663	22.89	-1.9075
115	1085	-320	24.8413	22.7413	-7.665
79	1181	-391	18.0425	19.7313	-7.95375
-43	1047	-409	15.0238	21.0613	-6.83375
