A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
383	816	-126	-56.2713	71.6188	-10.6663
419	854	-81	-53.4975	64.4788	-9.72125
418	846	-39	-53.7075	61.3288	-6.3525
419	834	22	-52.7888	57.82	-2.86125
451	845	64	-50.0413	55.3175	-1.32125
432	823	109	-48.1688	55.3613	0.91875
382	806	190	-43.9688	52.4038	-1.19
325	760	258	-35.2538	43.0413	-6.335
296	768	308	-19.6263	26.7488	-7.7875
240	804	325	-4.76875	5.74875	-5.52125
322	787	299	7.6475	-16.8963	-1.925
363	783	260	21.7525	-28.3938	3.71
348	809	214	34.3175	-36.9688	7.25375
371	826	157	42.07	-48.6938	7.0175
425	827	90	46.5325	-57.645	5.31125
449	823	35	49.455	-58.7563	3.955
424	824	-23	52.6838	-58.7825	3.87625
483	872	-94	54.2938	-59.255	4.99625
374	886	-128	49.1838	-57.0588	3.75375
462	854	-169	43.2688	-63.595	3.7275
447	801	-215	41.6325	-61.2325	5.01375
431	807	-249	45.6313	-60.3313	5.1275
472	805	-291	47.4075	-59.2813	3.535
377	758	-332	49.6038	-53.83	1.995
443	782	-383	55.8338	-56.805	2.3275
407	775	-435	56.4638	-50.7063	2.09125
351	790	-471	55.7375	-47.6963	1.3825
382	789	-513	51.5113	-50.4525	4.795
325	770	-542	43.6275	-49.7613	7.98875
296	772	-577	35.6825	-55.2913	8.91625
390	771	-656	25.9088	-60.7775	9.45875
404	783	-700	13.7988	-46.5763	4.725
400	771	-711	2.05625	-26.2238	-1.18125
388	773	-720	-8.085	-3.57875	-3.3425
355	799	-696	-19.1188	18.4625	-3.675
330	743	-642	-29.9163	34.2213	-1.9075
368	736	-602	-34.4575	44.6775	0.3325
354	748	-548	-37.0125	55.7113	0.28875
310	758	-504	-38.9463	58.4763	-0.805
394	795	-469	-40.2238	55.8075	-3.01875
391	779	-433	-43.5838	59.2638	-1.74125
390	786	-391	-44.4413	59.2463	-2.40625
400	780	-343	-43.4	56.735	-6.23
419	796	-305	-42.1138	53.9613	-10.0625
415	813	-275	-41.79	52.3775	-11.7338
439	857	-245	-42.0613	51.1788	-11.5413
460	881	-212	-46.725	54.7925	-11.2963
443	895	-164	-53.55	60.5063	-11.2
435	891	-114	-61.1975	65.7037	-10.325
403	855	-52	-66.92	68.95	-7.1225
372	837	28	-66.29	66.5613	-3.31625
364	836	101	-61.0838	60.8563	0.0875
372	806	167	-54.3288	55.5625	5.06625
299	776	267	-43.5663	47.9238	7.9975
259	737	325	-26.8538	29.75	3.7975
289	765	332	-5.24125	6.53625	4.06875
283	776	310	11.4975	-14.2538	4.515
403	767	249	26.5125	-31.1325	2.98375
392	806	190	39.27	-35.9188	3.59625
405	860	137	44.8088	-41.2913	4.9175
421	869	89	43.2775	-44.9663	3.8675
439	830	47	42.4375	-46.3138	2.02125
436	818	2	46.6813	-47.5913	2.16125
457	850	-60	50.5663	-48.9388	3.75375
395	859	-107	49.4288	-49.6213	3.84125
469	871	-150	45.9725	-54.7225	2.87875
424	826	-183	41.8338	-51.0825	1.785
436	830	-227	43.3825	-52.6225	2.21375
448	833	-264	43.155	-51.5025	3.40375
378	791	-298	43.3475	-49.6213	1.63625
435	783	-338	47.5825	-52.9463	2.49375
369	771	-376	50.995	-50.3825	3.9375
430	771	-430	54.0925	-52.0625	4.2
393	762	-472	54.4863	-46.2088	6.83375
351	767	-509	52.57	-44.3363	9.1175
357	762	-553	46.9525	-47.0225	10.325
336	761	-599	40.3813	-47.67	10.7013
396	811	-668	30.2663	-47.5475	10.8675
448	800	-716	13.195	-34.1513	6.15125
433	786	-739	-3.56125	-11.06	0.16625
420	844	-722	-20.3963	12.4513	-5.76625
364	754	-637	-39.0338	33.9675	-7.25375
310	722	-561	-46.9875	41.9388	-0.39375
367	745	-514	-48.0025	41.2475	2.03875
379	750	-478	-47.9238	44.3188	-1.18125
374	787	-428	-46.8038	46.6025	-6.23
389	848	-413	-49.4113	47.355	-9.91375
362	786	-373	-54.11	47.3288	-8.96875
440	810	-323	-51.8875	44.8788	-4.68125
388	822	-272	-50.6363	49.5163	0.14875
424	829	-234	-49.5338	47.95	-1.3475
418	799	-185	-47.1363	48.9125	-4.1825
452	852	-154	-42.4375	48.7113	-2.75625
447	869	-121	-42.8663	53.2	-2.0125
438	877	-75	-45.8413	56.0525	-0.5775
458	865	-36	-49.3938	58.17	0.58625
458	852	10	-51.6863	62.2388	2.24875
443	833	58	-51.625	65.24	2.9575
417	820	109	-47.6525	66.0013	1.02375
413	818	191	-41.545	64.0675	-0.875
300	763	269	-34.9738	59.4038	-3.1675
284	779	327	-20.8163	42.035	-1.77625
255	807	346	-7	22.1725	4.05125
316	822	337	3.57875	3.33375	7.60375
257	806	333	10.8675	-12.0225	10.4388
367	791	286	19.985	-34.2475	13.0725
368	774	237	29.7413	-46.3225	12.18
446	793	175	38.5788	-57.47	9.24875
437	809	128	42.8575	-60.34	6.58
504	796	53	46.375	-63.9888	3.87625
544	834	-5	49.6475	-58.0213	2.54625
452	839	-45	48.7988	-50.4525	1.1725
502	862	-91	47.0838	-51.3013	1.14625
498	858	-125	42.1838	-47.425	0.2975
439	816	-151	38.4563	-43.7675	-1.3125
431	800	-175	41.02	-46.8563	-1.435
458	791	-219	45.6663	-50.4613	0.27125
421	779	-262	50.015	-50.9163	1.995
453	777	-315	54.2325	-53.0075	1.12
444	767	-367	57.54	-49.525	0.84
378	783	-402	59.255	-47.6788	1.365
394	761	-447	58.0563	-52.4388	3.59625
365	741	-503	56.6038	-54.4513	5.80125
378	772	-575	51.9575	-57.0325	5.88
425	804	-641	41.5625	-53.0863	3.71
397	816	-690	26.53	-40.0488	1.53125
447	815	-730	8.085	-25.4713	0.06125
435	807	-719	-10.3863	-0.90125	-2.58125
390	757	-663	-25.3488	21	-3.77125
364	732	-609	-33.215	34.6675	-2.2225
364	756	-563	-37.4675	42.3325	-0.385
363	756	-523	-41.7113	46.375	0.49
403	769	-492	-44.6863	48.3438	0.34125
401	778	-450	-46.7338	52.6488	-1.23375
412	789	-411	-49.315	53.6638	-1.40875
460	802	-364	-50.8988	54.425	-2.3975
481	792	-314	-52.4563	59.64	-3.6575
441	759	-264	-51.2925	64.2513	-6.06375
402	771	-205	-44.87	62.0375	-9.84375
440	850	-165	-38.8675	55.5188	-10.6138
433	867	-138	-41.335	53.9088	-8.995
457	880	-106	-46.8388	52.92	-7.84
430	875	-53	-52.2638	53.2525	-6.32625
431	872	-1	-56.595	51.8438	-4.13
427	824	42	-57.9425	52.3338	-3.395
406	823	110	-53.8388	49.5513	2.66875
407	817	176	-49.0263	45.15	4.64625
382	758	247	-39.865	43.1813	3.71875
330	772	320	-23.8613	34.86	6.5625
328	759	333	-8.12	19.9325	9.17
368	799	329	6.72875	4.865	13.16
328	772	301	15.925	-8.14625	13.5013
388	772	260	26.6	-25.515	14.1838
393	766	201	35.63	-39.7775	13.8338
494	798	135	42.8925	-52.5088	10.43
501	813	82	44.485	-52.9638	3.29875
522	811	24	45.2463	-51.8438	-2.31875
514	834	-13	45.6313	-48.0463	-3.12375
522	831	-65	44.135	-44.4675	-1.89
477	848	-97	42.21	-39.8388	-0.16625
462	831	-127	39.4625	-41.5363	1.16375
480	818	-154	38.4125	-44.9225	1.86375
474	795	-193	38.5613	-45.9725	-0.00875
465	774	-229	41.2738	-47.075	-1.37375
429	760	-271	46.4538	-50.015	-0.69125
401	758	-316	52.0625	-55.5975	-0.62125
400	770	-364	56.5863	-62.0988	-1.6975
422	755	-421	58.4588	-64.4175	-0.07875
448	782	-480	58.66	-62.7025	4.66375
408	769	-523	53.305	-55.475	9.31875
394	766	-567	46.5413	-53.1388	11.3925
439	766	-614	38.5175	-49.8838	9.40625
407	772	-664	27.9913	-37.2225	-1.4
434	769	-700	15.4613	-23.2488	-10.605
415	753	-698	3.03625	-4.62875	-9.59875
360	785	-689	-9.93125	11.1125	-6.20375
359	753	-658	-23.905	20.6325	-5.3725
378	717	-612	-31.9375	29.1025	-5.69625
387	741	-581	-34.685	38.0625	-4.9525
364	775	-545	-38.5	45.5088	-3.3075
371	759	-506	-43.4963	48.2825	-1.65375
412	770	-462	-45.2025	49.8838	-0.98
428	795	-429	-46.1913	53.935	-0.79625
433	790	-385	-48.8775	57.47	-0.14
436	791	-340	-50.4088	58.66	-1.015
442	809	-288	-51.2925	58.8088	-4.41
462	812	-249	-52.7888	57.9775	-5.87125
475	830	-210	-53.6288	59.6313	-7.245
459	835	-156	-55.72	61.8538	-8.05875
444	851	-94	-58.205	61.5738	-8.7325
458	848	-48	-61.4688	61.67	-9.8175
446	821	11	-61.5038	62.9563	-7.46375
439	837	79	-57.6888	62.2213	-1.79375
387	788	152	-54.1363	61.0838	-1.33
303	773	255	-43.8988	50.925	-1.4
266	737	327	-28.5863	30.415	-3.9375
325	781	312	-9.2225	6.83375	-1.51375
350	833	280	2.16125	-9.23125	3.78875
406	859	242	5.17125	-20.09	4.27875
369	823	236	4.26125	-26.1975	0.21
403	796	220	9.0475	-36.2863	-5.005
417	785	193	17.675	-41.4138	-5.43375
352	791	174	28.63	-46.0163	-4.1125
476	809	114	40.2325	-55.0638	-2.10875
446	808	59	47.5038	-50.2775	0.1225
456	833	3	53.4363	-49.2713	2.0125
453	886	-51	53.8913	-48.0025	4.05125
385	946	-101	45.5963	-49.8575	5.67875
387	918	-125	28.2888	-61.4775	9.205
465	775	-153	19.0225	-70.4025	9.275
458	737	-187	29.2425	-68.3287	4.48
399	771	-220	43.2688	-66.1325	-1.91625
449	759	-271	52.1675	-68.005	-5.3375
406	710	-332	63.6913	-61.7663	-4.08625
389	752	-395	77.4113	-59.7888	-1.16375
437	776	-470	82.1625	-56.525	2.73875
421	796	-550	78.12	-47.74	6.93
457	817	-628	67.445	-36.9075	8.02375
406	862	-675	49.4638	-22.0675	5.53
430	823	-702	25.3138	-10.955	2.3975
381	786	-691	4.17375	2.68625	-1.21625
402	757	-666	-11.3225	11.76	-4.1825
395	744	-634	-22.4875	23.2663	-5.55625
378	721	-590	-29.5575	32.3663	-4.24375
405	756	-565	-32.9525	38.0625	-2.44125
407	762	-531	-38.4213	45.0975	-1.58375
387	790	-492	-43.4263	47.7575	-1.19875
396	902	-472	-53.165	45.9463	-1.5225
330	794	-427	-72.5288	40.4425	2.03875
466	756	-350	-77.595	28.9888	0.34125
512	749	-288	-72.135	34.5713	-6.405
403	765	-225	-64.6188	43.155	-10.815
448	805	-178	-56.1488	41.0638	-11.1388
458	838	-144	-50.9075	44.4763	-8.74125
462	869	-103	-50.2075	49.4463	-3.64
480	879	-69	-52.3163	55.93	0.35
475	890	-31	-56.8838	64.5663	6.5625
445	862	40	-64.1113	70.9975	14.6913
409	786	121	-63.5163	72.52	14.3063
398	749	217	-54.4075	63.7263	17.2375
359	703	324	-41.0025	50.3825	13.5363
379	695	350	-20.7813	33.215	3.325
373	793	337	-3.3775	15.4875	1.155
387	793	333	1.79375	1.68	-4.48875
431	755	316	8.82	-6.3	-8.7675
406	775	295	19.1013	-10.78	-5.59125
396	783	268	28.6388	-17.885	-5.24125
406	785	221	38.36	-26.425	-7.55125
416	820	171	45.4125	-33.2588	-6.25625
428	828	118	48.3525	-38.99	-4.2175
498	861	65	49.4375	-38.9725	-4.85625
412	856	20	47.6438	-32.7163	-6.83375
443	881	-18	47.1888	-35.7263	-6.16
391	856	-56	44.1175	-36.4438	-4.43625
407	839	-103	44.4675	-41.6588	-2.42375
390	830	-136	47.3638	-44.7038	0.035
399	866	-159	49.735	-50.5925	3.43875
407	812	-199	48.545	-53.9175	7.1575
411	771	-253	53.235	-55.4138	8.9075
422	799	-317	60.2	-56.595	9.345
436	809	-370	61.4863	-55.3788	8.7675
443	785	-420	59.0975	-51.2925	4.96125
402	765	-469	57.33	-46.2438	0.7525
353	794	-503	54.005	-45.1675	-5.46
419	777	-555	46.7338	-44.3275	-6.8425
369	782	-601	40.11	-34.8863	-2.555
362	836	-650	29.4613	-27.7813	-0.04375
423	836	-686	12.285	-17.3863	-1.8725
388	815	-681	-6.0725	2.05625	-4.82125
359	797	-627	-21.6563	16.6425	-5.62625
338	757	-586	-32.6288	25.0425	-4.82125
354	768	-548	-37.5375	30.5638	-4.97875
319	774	-509	-40.7575	35.8925	-3.57
363	810	-479	-42.9975	36.0675	-1.05875
337	799	-435	-45.6138	39.6638	-1.30375
361	803	-401	-46.6025	38.1063	-2.1875
423	809	-368	-46.6288	39.6375	-2.21375
