STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.009882000	  -0.032269000	   1.020286000	 192.500000000	-953.750000000	-446.250000000	
  -0.001708000	  -0.032818000	   1.012295000	 131.250000000	-883.750000000	-551.250000000	
  -0.001586000	  -0.030561000	   1.009794000	 210.000000000	-883.750000000	-411.250000000	
  -0.009333000	  -0.034648000	   1.012783000	 157.500000000	-962.500000000	-428.750000000	
  -0.004026000	  -0.033611000	   1.017846000	 157.500000000	-1023.750000000	-525.000000000	
  -0.003355000	  -0.031842000	   1.008635000	 105.000000000	-918.750000000	-498.750000000	
  -0.005978000	  -0.030561000	   1.009733000	  78.750000000	-892.500000000	-402.500000000	
  -0.001891000	  -0.032086000	   1.018883000	  61.250000000	-910.000000000	-498.750000000	
  -0.005307000	  -0.034892000	   1.013332000	 131.250000000	-848.750000000	-472.500000000	
  -0.009760000	  -0.031598000	   1.017297000	 157.500000000	-848.750000000	-393.750000000	
  -0.002562000	  -0.030561000	   1.005219000	 140.000000000	-1032.500000000	-463.750000000	
   0.000488000	  -0.036173000	   1.014735000	 166.250000000	-831.250000000	-472.500000000	
  -0.008113000	  -0.033794000	   1.015833000	 175.000000000	-805.000000000	-420.000000000	
  -0.006222000	  -0.025254000	   1.013088000	 157.500000000	-988.750000000	-393.750000000	
   0.000854000	  -0.036173000	   1.010221000	 218.750000000	-988.750000000	-472.500000000	
  -0.007564000	  -0.035502000	   1.018517000	 288.750000000	-857.500000000	-463.750000000	
  -0.011346000	  -0.027694000	   1.011624000	 183.750000000	-1032.500000000	-393.750000000	
   0.005490000	  -0.031781000	   1.013881000	 157.500000000	-901.250000000	-490.000000000	
  -0.009455000	  -0.036051000	   1.010709000	 218.750000000	-892.500000000	-481.250000000	
  -0.014091000	  -0.028609000	   1.013210000	 210.000000000	-1050.000000000	-411.250000000	
   0.005429000	  -0.030134000	   1.016382000	 148.750000000	-1050.000000000	-455.000000000	
   0.000244000	  -0.038552000	   1.008086000	 175.000000000	-857.500000000	-428.750000000	
  -0.015128000	  -0.031659000	   1.015894000	 192.500000000	-927.500000000	-385.000000000	
  -0.001952000	  -0.028548000	   1.016260000	 105.000000000	-1146.250000000	-481.250000000	
   0.004331000	  -0.035075000	   1.004914000	 105.000000000	-796.250000000	-472.500000000	
  -0.011834000	  -0.034465000	   1.015650000	 262.500000000	-831.250000000	-420.000000000	
  -0.009333000	  -0.030744000	   1.016138000	  96.250000000	-1198.750000000	-463.750000000	
   0.007442000	  -0.034038000	   1.014064000	 122.500000000	-1006.250000000	-455.000000000	
  -0.010553000	  -0.036051000	   1.011380000	 236.250000000	-761.250000000	-446.250000000	
  -0.011346000	  -0.027145000	   1.012661000	 131.250000000	-1041.250000000	-481.250000000	
   0.006954000	  -0.032330000	   1.014308000	 122.500000000	-1102.500000000	-428.750000000	
  -0.004636000	  -0.039528000	   1.012112000	 218.750000000	-805.000000000	-358.750000000	
  -0.017507000	  -0.031232000	   1.013149000	 218.750000000	-918.750000000	-490.000000000	
   0.004636000	  -0.027450000	   1.019005000	  70.000000000	-1181.250000000	-507.500000000	
  -0.000732000	  -0.037149000	   1.011136000	 131.250000000	-726.250000000	-472.500000000	
  -0.015372000	  -0.033611000	   1.011746000	 236.250000000	-857.500000000	-472.500000000	
   0.001647000	  -0.026108000	   1.014796000	 148.750000000	-1041.250000000	-490.000000000	
