A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
-1169	662	3413	-285.1426	161.55919	832.84644	12
6117	5282	4692	1492.577	1288.6971	1144.7982	12
-5974	4224	394	-1457.5443	1030.7456	96.15878	12
-2150	-1461	3463	-524.693	-356.36212	844.9945	12
77	5082	4500	18.721601	1240.0317	1097.9141	12
-748	1668	4533	-182.50276	407.00446	1105.9492	12
1000	1877	2934	243.89354	457.88235	715.8991	12
-725	3064	2898	-176.78424	747.68024	707.10596	12
-591	2033	2388	-144.31941	496.12143	582.70966	12
-835	2633	2560	-203.6282	642.3358	624.5785	12
-2	2835	3265	-0.500912	691.8166	796.64795	12
-292	2438	3176	-71.20398	594.9778	774.9202	12
-631	2766	3200	-154.02995	675.025	780.86127	12
-2139	2759	3545	-521.93994	673.1188	864.98456	12
-842	1361	2969	-205.41669	332.08243	724.3815	12
-857	1744	3933	-209.17711	425.53772	959.72034	12
-812	2464	3617	-198.21414	601.16626	882.4742	12
-1062	2117	3497	-259.21133	516.6349	853.3884	12
-1202	2386	2788	-293.2535	582.29205	680.20746	12
-1071	2134	3074	-261.2196	520.6307	749.9504	12
-695	2074	3121	-169.46329	506.02655	761.51587	12
-1101	2638	3364	-268.7169	643.58575	820.77246	12
-1060	1843	3341	-258.55368	449.6517	815.10535	12
-1097	2178	3400	-267.6046	531.5009	829.7037	12
-1024	2899	3506	-249.79915	707.3326	855.3691	12
-999	2682	3372	-243.74945	654.4603	822.6725	12
-1285	2456	3124	-313.63095	599.24866	762.19885	12
-1895	2115	3195	-462.31247	516.1085	779.5446	12
-1394	1272	2850	-340.20154	310.34494	695.4137	12
-1260	1903	3323	-307.35968	464.35092	810.89294	12
-810	2187	3257	-197.62737	533.5973	794.76996	12
-860	2616	3904	-209.83331	638.21423	952.68884	12
-1151	2003	3458	-280.72702	488.672	843.7244	12
-1542	1776	3521	-376.2159	433.28793	859.11053	12
-1561	1595	3145	-381.00278	389.0688	767.4778	12
-970	1802	3278	-236.72467	439.61398	799.8723	12
-799	2326	3385	-194.85345	567.5735	825.9556	12
-562	2085	3383	-137.05693	508.76843	825.4583	12
-1242	1936	3331	-303.05756	472.3314	812.7592	12
-1147	1758	3350	-279.92825	428.96475	817.4491	12
-1074	1849	3304	-262.1331	451.06113	806.0947	12
-1330	2417	3535	-324.50992	589.64734	862.5742	12
-1292	1975	3657	-315.3031	481.961	892.2672	12
-1134	2176	3611	-276.72107	530.9083	881.1617	12
-763	2458	3431	-186.2088	599.6778	837.2448	12
-1134	2152	3484	-276.74094	525.0124	849.97424	12
-1745	2190	2628	-425.88583	534.3358	641.1859	12
-1477	1256	2810	-360.33075	306.36905	685.5304	12
-1793	1470	3577	-437.4361	358.7878	872.8704	12
-1098	1615	3374	-267.99866	394.16342	823.3772	12
-1142	2087	3491	-278.6409	509.11636	851.7083	12
-1100	2161	3255	-268.50723	527.2431	794.1513	12
-1249	2566	3064	-304.7099	626.0424	747.58093	12
-986	1986	3441	-240.69891	484.4685	839.5943	12
-492	1916	3700	-120.04815	467.58435	902.8878	12
-336	2711	3951	-82.095276	661.409	964.02234	12
-351	1923	3351	-85.63194	469.24246	817.7126	12
-552	2720	3646	-134.58107	663.6803	889.73956	12
-402	3458	3882	-98.002975	843.7809	947.31775	12
228	2466	2850	55.514107	601.7476	695.313	12
-128	2570	2444	-31.245861	626.98004	596.2364	12
-72	2351	2894	-17.458368	573.62177	706.20703	12
-194	2738	2897	-47.456707	667.97797	706.8272	12
-542	2555	2935	-132.3689	623.48694	716.2357	12
-754	2410	2877	-183.9184	588.06396	701.9906	12
-688	2808	3477	-167.95442	685.0357	848.4142	12
62	2081	3285	15.213405	507.7923	801.47705	12
-12	2643	3441	-3.0256205	644.9295	839.5538	12
49	2209	3330	11.94367	538.9254	812.57556	12
-673	2115	3095	-164.09094	515.97974	755.29724	12
-692	2916	3458	-168.95288	711.4361	843.68616	12
-1238	2711	3823	-302.1876	661.5901	932.8782	12
-827	1325	2974	-201.84334	323.3792	725.649	12
-834	2973	3890	-203.39458	725.30035	949.25836	12
-548	2857	3772	-133.59999	697.2122	920.2941	12
-930	1874	3472	-226.99284	457.26407	847.12317	12
-933	2368	2974	-227.66025	577.88416	725.5538	12
-911	2350	3231	-222.20526	573.4745	788.38403	12
-999	1047	3360	-243.85764	255.58682	819.72375	12
-1099	1091	3723	-268.18503	266.1724	908.32385	12
-1738	875	3910	-424.18497	213.56609	954.1198	12
-1708	220	3823	-416.67746	53.68501	932.876	12
-1217	1009	3604	-296.93805	246.18163	879.35443	12
-1387	937	3891	-338.40747	228.65688	949.51764	12
-1299	1094	3981	-316.96765	266.93686	971.26746	12
-911	1220	3063	-222.30151	297.7629	747.4084	12
-1464	1334	3154	-357.251	325.59677	769.6061	12
-2081	1189	3457	-507.8079	290.15384	843.60925	12
-1645	549	3792	-401.33728	133.994	925.14655	12
-920	1313	3585	-224.55933	320.28415	874.68915	12
-541	1153	3680	-131.98225	281.32022	897.87616	12
-1740	298	3992	-424.4596	72.78914	973.96893	12
-2239	-213	3482	-546.35236	-52.03886	849.6779	12
-1877	34	4041	-458.04276	8.255652	985.99506	12
-1945	-359	4088	-474.6232	-87.651115	997.3633	12
-1306	-385	4592	-318.60645	-93.87117	1120.3628	12
-1359	-43	3594	-331.5056	-10.443776	876.90356	12
-1955	1250	3081	-476.9203	305.00833	751.8097	12
-1508	1457	3664	-368.00232	355.5774	894.10913	12
-2232	502	3779	-544.64874	122.465034	922.1057	12
-1440	241	3322	-351.34863	58.875465	810.4897	12
-1640	1311	3836	-400.25922	319.99457	935.9966	12
-1270	-72	3611	-309.95068	-17.654846	881.20154	12
-1523	1120	4007	-371.5655	273.38705	977.6072	12
-1516	775	3610	-370.0249	188.97981	880.8006	12
-898	592	3763	-219.19868	144.42735	918.064	12
-1094	836	3535	-267.03793	203.90987	862.6218	12
-1141	1790	3451	-278.52573	436.7608	842.1283	12
-1310	720	3604	-319.64612	175.63033	879.4008	12
-1650	295	3135	-402.62933	72.06176	764.9564	12
-2087	634	2755	-509.2702	154.64908	672.1366	12
-945	1943	3255	-230.54448	474.1792	794.27295	12
-1037	2159	3888	-253.11249	526.86993	948.7726	12
