A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
818.864 	 620.736 	 -249.368 	-14.91 	 -7.7 	 -69.37 	
579.744 	 655.384 	 -179.584 	-1.26 	 5.04 	 4.62 	
491.416 	 798.368 	 -181.536 	14.21 	 14.42 	 67.13 	
631.472 	 832.04 	 -205.936 	7.28 	 6.09 	 40.81 	
719.312 	 671 	 -200.08 	-2.24 	 -0.35 	 -9.17 	
712.48 	 701.744 	 -205.448 	-6.72 	 -3.43 	 -38.85 	
673.44 	 682.712 	 -213.744 	-8.75 	 -3.15 	 -48.37 	
572.912 	 758.84 	 -196.176 	-9.45 	 -1.89 	 -44.87 	
646.112 	 749.568 	 -203.496 	-10.71 	 -4.48 	 -46.06 	
597.8 	 769.088 	 -187.88 	-6.79 	 0.91 	 -40.18 	
515.328 	 833.992 	 -167.384 	-7.98 	 1.26 	 -47.32 	
506.056 	 841.312 	 -177.632 	-11.97 	 -4.27 	 -60.55 	
458.232 	 838.872 	 -162.016 	-13.58 	 -6.65 	 -65.03 	
426.024 	 889.624 	 -157.624 	-17.22 	 -10.36 	 -73.99 	
380.152 	 902.8 	 -156.648 	-19.39 	 -11.69 	 -81.34 	
326.96 	 936.472 	 -136.64 	-21.56 	 -12.95 	 -87.5 	
299.632 	 945.744 	 -128.344 	-21.84 	 -11.69 	 -86.52 	
238.632 	 933.544 	 -118.096 	-17.57 	 -6.86 	 -73.15 	
139.568 	 975.024 	 -100.528 	-14.56 	 -2.73 	 -63.35 	
107.36 	 975.512 	 -97.112 	-13.3 	 -0.42 	 -59.08 	
53.192 	 974.536 	 -81.496 	-11.55 	 1.12 	 -56.63 	
31.72 	 994.544 	 -79.544 	-9.24 	 2.24 	 -51.87 	
-2.44 	 980.88 	 -74.664 	-7.28 	 3.01 	 -44.8 	
-48.8 	 975.024 	 -64.904 	-4.76 	 2.59 	 -37.38 	
-67.344 	 1000.4 	 -71.248 	-2.45 	 0 	 -29.26 	
-86.376 	 1007.72 	 -67.832 	-2.59 	 -1.54 	 -21.63 	
-78.568 	 985.272 	 -70.272 	-1.54 	 -2.38 	 -14.35 	
-75.64 	 989.664 	 -68.808 	1.54 	 -0.77 	 -3.43 	
-91.256 	 993.568 	 -67.832 	3.15 	 1.26 	 3.22 	
-66.856 	 998.448 	 -80.032 	3.85 	 1.89 	 7.35 	
-63.928 	 995.52 	 -76.128 	3.64 	 1.68 	 9.8 	
-35.136 	 993.568 	 -76.616 	2.59 	 0.91 	 8.75 	
-44.896 	 997.472 	 -77.104 	0.42 	 0.35 	 3.01 	
-19.032 	 1008.21 	 -78.08 	-3.71 	 0.42 	 -6.58 	
-102.48 	 992.592 	 -61 	-11.62 	 -0.84 	 -32.9 	
-109.312 	 968.68 	 -53.192 	-17.78 	 -5.46 	 -64.12 	
-110.776 	 966.728 	 -52.704 	-14.7 	 -7.7 	 -67.55 	
-177.632 	 991.128 	 -50.752 	-8.26 	 -7.98 	 -43.75 	
-101.016 	 996.984 	 -59.048 	0.91 	 -9.45 	 -10.78 	
-74.176 	 1027.24 	 -77.104 	16.8 	 -1.05 	 65.52 	
-253.76 	 1005.77 	 -19.52 	17.99 	 4.2 	 94.71 	
-178.12 	 932.568 	 -39.04 	-3.57 	 -4.34 	 -2.24 	
43.92 	 944.28 	 -69.296 	-10.71 	 -3.15 	 -66.64 	
-179.584 	 957.944 	 -45.872 	-15.12 	 2.17 	 -95.27 	
-251.808 	 973.56 	 -38.552 	-19.81 	 -0.49 	 -101.85 	
-250.344 	 1039.44 	 -43.432 	-12.88 	 -5.39 	 -58.73 	
-293.288 	 1012.6 	 -16.592 	7 	 -2.66 	 39.27 	
-359.168 	 1009.18 	 16.592 	16.24 	 2.66 	 105.77 	
-389.424 	 928.664 	 32.696 	6.09 	 -2.31 	 62.3 	
-36.6 	 807.152 	 -35.624 	-7.56 	 -8.05 	 -38.08 	
-200.568 	 920.368 	 -10.736 	-13.16 	 1.75 	 -94.15 	
-248.392 	 945.256 	 -36.112 	-16.94 	 4.9 	 -115.22 	
-410.408 	 1030.66 	 -18.544 	-16.87 	 -0.35 	 -86.17 	
-507.52 	 975.512 	 -2.928 	-7.42 	 -8.4 	 -24.15 	
-332.816 	 1004.79 	 -5.368 	13.3 	 -3.01 	 70.7 	
-498.736 	 968.192 	 45.872 	24.57 	 10.57 	 143.36 	
-311.344 	 864.248 	 16.592 	14.42 	 1.12 	 82.11 	
-11.224 	 816.424 	 -44.896 	-6.02 	 -4.2 	 -32.27 	
-161.04 	 923.296 	 -40.016 	-17.85 	 2.31 	 -93.52 	
-343.064 	 975.512 	 -32.208 	-20.16 	 0.49 	 -94.78 	
-482.632 	 1050.66 	 -4.392 	-11.76 	 -6.79 	 -37.24 	
-404.552 	 1013.58 	 26.352 	2.8 	 -3.36 	 37.87 	
