#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10393122801,160,31,1018,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10393162001,128,-25,806,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10393201751,124,-35,730,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10393242830,109,-15,711,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10393282253,79,-43,735,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10393321460,101,-27,921,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10393360977,156,-19,1080,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10393400407,182,-42,1180,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10393439924,203,2,1270,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10393479146,200,22,1266,,,,,,,,,,0x03e,,,,,,,,,,,,,,,,,,,,,,,,,,
10393520228,171,35,1164,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10393559427,171,-9,1035,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10393599168,163,-20,930,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10393638375,146,-39,791,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10393678118,121,-57,676,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10393717328,92,-65,664,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10393756999,96,-71,837,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
10393797979,159,-65,1098,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10393837504,212,-22,1342,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10393876703,197,72,1420,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10393916448,181,80,1287,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10393955646,136,23,1029,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10393995388,128,7,834,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10394036149,115,-17,689,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
