# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
12293531,-1422,186,4086
12301874,-1485,281,4305
12310224,-1494,280,4381
12318567,-1483,290,4302
12326910,-1422,419,4211
12335262,-1379,473,3904
12343605,-1227,783,3570
12351949,-1113,465,3656
12360292,-1055,229,3508
12368642,-996,342,3246
12376985,-880,455,2866
12385328,-720,436,2491
12393671,-582,382,2160
12402021,-484,292,1821
12410363,-426,237,1473
12418705,-333,99,1193
12427055,-207,-26,981
12435397,-118,-181,881
12443740,-32,-253,768
12452091,57,-316,675
12460433,182,-390,605
12468776,353,-365,440
12477126,504,-311,219
12485468,611,-275,39
12493810,672,-314,-63
12502159,668,-341,-118
12510501,601,-328,-142
12518851,402,-329,-77
12527193,192,-347,98
12535534,52,-524,448
12543884,-239,-663,944
12552228,-550,-729,1476
12560576,-845,-722,1901
12568918,-1068,-649,2367
12577266,-1218,-505,2761
12585608,-1275,-287,3103
12593952,-1229,-33,3483
12602294,-1092,214,3650
12610645,-940,410,3703
12618988,-901,435,3781
12627331,-943,287,3764
12635682,-1032,209,3726
12644025,-1066,285,3637
12652367,-1004,0,3557
12660710,-960,542,3319
12669061,-801,306,3327
12677403,-821,228,3051
12685746,-759,350,2812
12694097,-724,322,2588
12702439,-641,234,2376
12710782,-517,171,2144
12719125,-399,162,1904
12727475,-290,66,1716
12735818,-224,-36,1578
12744161,-194,-104,1457
12752504,-142,-162,1306
12760855,-76,-231,1170
12769197,6,-278,1039
12777540,98,-220,888
12785888,219,-214,705
12794230,362,-164,502
12802581,488,-188,368
12810924,586,-149,263
12819266,597,-133,243
12827617,576,-88,212
12835959,514,-10,232
12844301,339,6,395
12852644,83,-114,712
12860994,-311,-233,1088
12869334,-661,-279,1513
12877686,-856,-351,1982
12886029,-1003,-403,2524
12894369,-1170,-296,2975
12902720,-1323,-147,3346
12911063,-1379,29,3626
12919405,-1386,78,3859
12927755,-1286,32,3925
12936098,-1213,42,3838
12944440,-1187,162,3736
12952791,-1175,194,3584
12961133,-1145,227,3367
12969476,-1055,203,3239
