A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
100.528 	 992.104 	 -61.976 	0.77 	 -47.53 	 14.14 	
120.536 	 976 	 -63.44 	-0.84 	 -53.9 	 11.76 	
179.584 	 979.904 	 -77.592 	-3.78 	 -56.21 	 3.85 	
268.4 	 942.328 	 -92.232 	-4.27 	 -49.21 	 -3.15 	
276.696 	 971.12 	 -83.448 	-0.77 	 -30.38 	 -1.19 	
205.448 	 982.832 	 -83.448 	1.68 	 -11.2 	 -1.19 	
160.552 	 988.2 	 -76.616 	2.31 	 0.7 	 -2.31 	
105.896 	 1000.89 	 -76.128 	2.1 	 4.34 	 1.96 	
139.568 	 985.76 	 -70.76 	3.15 	 3.43 	 16.17 	
155.672 	 993.568 	 -66.368 	7.42 	 4.62 	 47.04 	
156.648 	 971.608 	 -71.736 	10.85 	 7.35 	 63.49 	
209.352 	 971.608 	 -75.152 	9.73 	 8.33 	 49.77 	
246.44 	 967.704 	 -87.84 	4.48 	 8.12 	 17.15 	
303.048 	 906.704 	 -98.576 	-3.5 	 7.35 	 -19.74 	
236.68 	 955.016 	 -63.928 	-7.28 	 5.95 	 -50.26 	
257.664 	 972.096 	 -71.248 	-14.63 	 6.58 	 -88.97 	
134.688 	 973.56 	 -48.8 	-20.65 	 7 	 -118.16 	
89.304 	 959.896 	 -41.48 	-19.6 	 8.05 	 -114.03 	
-16.104 	 1001.86 	 -26.84 	-11.13 	 10.78 	 -66.29 	
-114.192 	 1013.09 	 -14.152 	-0.07 	 10.29 	 -4.97 	
-102.48 	 1017.97 	 -15.616 	9.94 	 5.53 	 46.83 	
57.096 	 1017.48 	 -37.088 	18.9 	 4.62 	 92.12 	
35.136 	 997.472 	 -45.872 	18.48 	 8.54 	 106.61 	
122.976 	 977.464 	 -61 	11.97 	 6.3 	 75.88 	
196.176 	 995.032 	 -65.392 	-0.91 	 5.04 	 14.56 	
