A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-378.688 	 1008.7 	 -268.4 	28.7 	 153.23 	 -32.97 	
-712.968 	 1208.78 	 -109.312 	7.63 	 57.82 	 -15.4 	
-571.448 	 1051.15 	 -149.816 	-19.67 	 -67.27 	 10.85 	
-372.344 	 961.848 	 -249.856 	-30.03 	 -167.72 	 33.39 	
-177.632 	 945.744 	 -368.928 	-33.74 	 -232.68 	 50.4 	
167.384 	 876.448 	 -445.544 	-33.88 	 -252.91 	 58.38 	
695.4 	 842.776 	 -419.192 	-23.31 	 -206.92 	 53.41 	
834.48 	 856.928 	 -333.792 	-10.92 	 -90.37 	 26.25 	
581.696 	 818.376 	 -307.44 	6.86 	 31.64 	 -11.13 	
453.84 	 907.68 	 -348.432 	22.12 	 115.5 	 -34.86 	
381.128 	 859.368 	 -474.824 	32.55 	 188.44 	 -49.91 	
-66.368 	 904.752 	 -454.816 	40.67 	 226.52 	 -57.96 	
-369.416 	 912.56 	 -340.136 	42.28 	 201.11 	 -53.41 	
-840.824 	 1267.82 	 -117.12 	24.85 	 109.13 	 -28.98 	
-679.784 	 1093.61 	 -149.328 	-5.32 	 -35.21 	 5.95 	
-312.808 	 994.544 	 -275.232 	-23.45 	 -140 	 28.21 	
-27.328 	 941.352 	 -356.24 	-31.43 	 -191.17 	 37.59 	
642.696 	 865.224 	 -404.064 	-24.43 	 -162.89 	 37.73 	
555.344 	 900.36 	 -324.032 	-16.73 	 -67.97 	 22.61 	
348.432 	 861.808 	 -288.896 	-5.53 	 14.42 	 -2.31 	
70.272 	 957.456 	 -245.952 	3.5 	 55.93 	 -15.75 	
-130.784 	 1025.78 	 -187.392 	2.87 	 50.26 	 -12.11 	
-56.12 	 998.936 	 -176.656 	-2.94 	 25.2 	 -4.9 	
22.936 	 937.936 	 -173.728 	-2.8 	 9.17 	 -2.52 	
61.488 	 943.304 	 -182.512 	2.17 	 4.62 	 -4.76 	
56.608 	 967.704 	 -196.176 	7 	 6.23 	 -5.04 	
59.048 	 979.416 	 -216.672 	8.47 	 9.8 	 -2.8 	
22.448 	 987.712 	 -230.336 	6.79 	 12.39 	 -0.14 	
30.256 	 989.176 	 -227.408 	3.99 	 13.23 	 1.75 	
21.96 	 986.736 	 -221.552 	1.4 	 11.48 	 3.99 	
57.096 	 976.488 	 -217.16 	-1.61 	 10.78 	 3.85 	
60.512 	 969.168 	 -202.52 	-3.36 	 11.2 	 1.96 	
97.6 	 952.088 	 -212.28 	-2.38 	 12.74 	 0.28 	
68.808 	 952.576 	 -213.744 	0.77 	 15.19 	 -1.05 	
