STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-374 	 -227 	 919 	
-368 	 -222 	 929 	
-359 	 -226 	 925 	
-358 	 -215 	 919 	
-351 	 -221 	 915 	
-359 	 -222 	 913 	
-377 	 -208 	 939 	
-374 	 -221 	 924 	
-373 	 -220 	 915 	
-360 	 -215 	 912 	
-362 	 -217 	 910 	
-366 	 -212 	 919 	
-376 	 -222 	 899 	
-378 	 -220 	 909 	
-384 	 -232 	 899 	
-368 	 -205 	 940 	
-391 	 -233 	 925 	
-386 	 -215 	 944 	
-376 	 -203 	 939 	
-363 	 -232 	 884 	
-376 	 -214 	 892 	
-399 	 -230 	 898 	
-386 	 -214 	 930 	
-386 	 -218 	 929 	
-415 	 -228 	 912 	
-393 	 -237 	 896 	
-388 	 -192 	 932 	
-386 	 -223 	 898 	
-398 	 -213 	 908 	
-416 	 -202 	 916 	
-400 	 -231 	 882 	
-402 	 -190 	 921 	
-412 	 -225 	 878 	
-438 	 -219 	 876 	
-435 	 -191 	 924 	
-420 	 -216 	 892 	
-442 	 -192 	 914 	
-440 	 -206 	 891 	
-433 	 -198 	 885 	
-446 	 -162 	 918 	
-441 	 -196 	 888 	
-430 	 -181 	 882 	
-453 	 -165 	 906 	
-471 	 -174 	 896 	
-464 	 -176 	 888 	
-475 	 -131 	 917 	
-442 	 -167 	 863 	
-435 	 -119 	 908 	
-442 	 -136 	 875 	
-445 	 -125 	 893 	
-441 	 -145 	 874 	
-440 	 -107 	 930 	
-440 	 -150 	 876 	
-436 	 -99 	 952 	
-444 	 -138 	 888 	
-442 	 -107 	 935 	
-427 	 -105 	 930 	
-410 	 -87 	 939 	
-436 	 -108 	 896 	
-431 	 -112 	 874 	
-363 	 -53 	 962 	
-401 	 -71 	 945 	
-466 	 -119 	 856 	
-378 	 -56 	 945 	
-370 	 -53 	 956 	
-380 	 -43 	 963 	
-403 	 -78 	 909 	
-393 	 -35 	 964 	
-360 	 -31 	 963 	
-362 	 -19 	 952 	
-363 	 -53 	 899 	
-348 	 -3 	 956 	
-342 	 -15 	 943 	
-366 	 -32 	 914 	
-358 	 4 	 961 	
-349 	 -9 	 950 	
-360 	 22 	 986 	
-344 	 22 	 970 	
-362 	 6 	 925 	
-340 	 44 	 967 	
-320 	 23 	 925 	
-325 	 47 	 946 	
-309 	 58 	 967 	
-296 	 76 	 993 	
-313 	 72 	 963 	
-288 	 73 	 957 	
-286 	 95 	 980 	
-293 	 85 	 959 	
-271 	 102 	 970 	
-268 	 102 	 957 	
-245 	 101 	 935 	
-235 	 123 	 998 	
-235 	 93 	 948 	
-241 	 124 	 995 	
-213 	 114 	 992 	
-210 	 147 	 1043 	
-175 	 117 	 982 	
-201 	 128 	 980 	
-168 	 108 	 943 	
-137 	 137 	 985 	
-195 	 142 	 1002 	
-178 	 114 	 969 	
-141 	 150 	 1010 	
-169 	 130 	 985 	
-163 	 139 	 998 	
-158 	 141 	 1000 	
-134 	 160 	 1022 	
-156 	 119 	 962 	
-147 	 172 	 1026 	
-131 	 151 	 994 	
-154 	 155 	 979 	
-107 	 159 	 970 	
-97 	 201 	 1016 	
-119 	 155 	 953 	
-107 	 178 	 974 	
-96 	 185 	 990 	
-118 	 186 	 986 	
-98 	 196 	 1000 	
-84 	 178 	 969 	
-116 	 203 	 1000 	
-105 	 176 	 971 	
-91 	 201 	 1001 	
-88 	 185 	 979 	
-89 	 198 	 997 	
-96 	 188 	 983 	
-79 	 199 	 998 	
-86 	 198 	 1002 	
-74 	 184 	 977 	
-73 	 204 	 992 	
-85 	 193 	 985 	
-20 	 198 	 983 	
2 	 223 	 1017 	
-108 	 183 	 950 	
-89 	 205 	 986 	
-35 	 222 	 1013 	
-59 	 203 	 975 	
-34 	 209 	 984 	
-26 	 221 	 993 	
-70 	 192 	 964 	
-59 	 213 	 1010 	
-22 	 215 	 1009 	
-40 	 204 	 989 	
-33 	 205 	 974 	
-55 	 203 	 984 	
-28 	 220 	 1003 	
-20 	 212 	 995 	
-37 	 209 	 980 	
-35 	 208 	 989 	
-29 	 204 	 987 	
-55 	 210 	 997 	
-24 	 209 	 990 	
-7 	 218 	 996 	
-19 	 210 	 983 	
-31 	 212 	 992 	
-37 	 201 	 981 	
-37 	 220 	 1006 	
-36 	 210 	 983 	
-5 	 201 	 986 	
-7 	 214 	 999 	
-39 	 210 	 988 	
-3 	 216 	 1000 	
-48 	 209 	 969 	
-11 	 219 	 995 	
-14 	 205 	 962 	
-14 	 226 	 1003 	
5 	 219 	 998 	
-29 	 214 	 983 	
-20 	 215 	 980 	
-11 	 209 	 968 	
2 	 240 	 1011 	
-26 	 214 	 979 	
-21 	 214 	 964 	
32 	 231 	 997 	
17 	 247 	 1010 	
-15 	 206 	 956 	
25 	 236 	 982 	
10 	 241 	 999 	
18 	 233 	 975 	
64 	 284 	 1015 	
29 	 238 	 950 	
23 	 232 	 932 	
50 	 285 	 1007 	
58 	 247 	 962 	
52 	 264 	 975 	
53 	 261 	 979 	
39 	 260 	 978 	
77 	 266 	 977 	
51 	 276 	 979 	
68 	 246 	 934 	
86 	 287 	 985 	
84 	 281 	 962 	
88 	 306 	 1017 	
77 	 261 	 932 	
74 	 266 	 894 	
115 	 292 	 978 	
82 	 293 	 966 	
121 	 308 	 1003 	
97 	 297 	 986 	
89 	 293 	 968 	
86 	 280 	 935 	
150 	 304 	 951 	
115 	 313 	 973 	
115 	 296 	 970 	
133 	 315 	 978 	
108 	 287 	 926 	
137 	 315 	 949 	
129 	 307 	 942 	
114 	 301 	 937 	
114 	 314 	 947 	
121 	 319 	 964 	
118 	 303 	 934 	
131 	 310 	 939 	
126 	 315 	 957 	
123 	 317 	 969 	
125 	 315 	 962 	
112 	 309 	 945 	
129 	 314 	 954 	
125 	 316 	 958 	
130 	 315 	 949 	
112 	 314 	 949 	
112 	 312 	 951 	
113 	 318 	 951 	
126 	 324 	 957 	
111 	 323 	 955 	
111 	 309 	 940 	
118 	 312 	 942 	
117 	 313 	 956 	
106 	 312 	 954 	
109 	 313 	 953 	
113 	 313 	 953 	
111 	 313 	 950 	
114 	 310 	 946 	
106 	 318 	 955 	
117 	 308 	 950 	
97 	 309 	 959 	
104 	 306 	 966 	
120 	 312 	 957 	
116 	 315 	 952 	
107 	 311 	 948 	
106 	 306 	 957 	
110 	 307 	 959 	
99 	 303 	 956 	
103 	 312 	 961 	
124 	 308 	 942 	
99 	 318 	 962 	
115 	 305 	 947 	
111 	 315 	 967 	
102 	 313 	 959 	
113 	 307 	 945 	
113 	 316 	 953 	
109 	 309 	 945 	
121 	 331 	 971 	
113 	 318 	 949 	
116 	 322 	 948 	
121 	 329 	 947 	
107 	 313 	 934 	
123 	 325 	 951 	
116 	 334 	 960 	
131 	 347 	 966 	
106 	 347 	 952 	
132 	 310 	 901 	
108 	 380 	 960 	
82 	 329 	 906 	
102 	 339 	 913 	
99 	 349 	 931 	
121 	 358 	 952 	
119 	 364 	 947 	
114 	 369 	 959 	
118 	 366 	 943 	
113 	 356 	 923 	
127 	 363 	 937 	
118 	 380 	 959 	
123 	 348 	 916 	
122 	 369 	 930 	
141 	 351 	 909 	
135 	 367 	 935 	
142 	 352 	 922 	
134 	 370 	 940 	
110 	 370 	 940 	
126 	 367 	 923 	
139 	 383 	 934 	
133 	 377 	 924 	
99 	 375 	 922 	
161 	 374 	 929 	
142 	 373 	 919 	
140 	 377 	 919 	
133 	 374 	 905 	
119 	 388 	 931 	
98 	 385 	 924 	
130 	 373 	 921 	
175 	 391 	 933 	
145 	 381 	 907 	
156 	 379 	 895 	
155 	 390 	 928 	
144 	 378 	 911 	
142 	 383 	 927 	
150 	 389 	 939 	
149 	 387 	 931 	
154 	 386 	 920 	
144 	 381 	 903 	
148 	 394 	 935 	
113 	 387 	 931 	
132 	 381 	 911 	
144 	 397 	 925 	
144 	 376 	 899 	
141 	 391 	 932 	
144 	 383 	 919 	
