STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-64 	 154 	 1055 	
-108 	 145 	 1081 	
-86 	 127 	 1114 	
-78 	 132 	 1128 	
-50 	 132 	 1066 	
-63 	 131 	 1000 	
-47 	 138 	 983 	
-60 	 140 	 959 	
-52 	 133 	 962 	
-69 	 122 	 934 	
-49 	 125 	 930 	
-31 	 114 	 932 	
-59 	 125 	 948 	
-76 	 139 	 977 	
-94 	 134 	 979 	
-95 	 145 	 1004 	
-102 	 136 	 1001 	
-86 	 122 	 1059 	
-87 	 128 	 1144 	
-90 	 139 	 1117 	
-63 	 141 	 1068 	
-61 	 143 	 1019 	
-56 	 142 	 955 	
-43 	 140 	 929 	
-61 	 131 	 912 	
-30 	 130 	 911 	
-70 	 122 	 919 	
-53 	 126 	 950 	
-76 	 131 	 974 	
-87 	 133 	 1012 	
-86 	 134 	 1050 	
-78 	 150 	 1097 	
-92 	 145 	 1098 	
-71 	 137 	 1094 	
-58 	 144 	 1078 	
-53 	 134 	 1019 	
-63 	 126 	 969 	
-59 	 120 	 940 	
-58 	 120 	 946 	
-85 	 122 	 937 	
-53 	 127 	 928 	
-74 	 132 	 944 	
-69 	 124 	 960 	
-53 	 136 	 992 	
-79 	 122 	 993 	
-73 	 117 	 1011 	
-83 	 106 	 999 	
-67 	 152 	 1072 	
-77 	 150 	 1094 	
-101 	 147 	 1106 	
-29 	 137 	 1067 	
-33 	 138 	 1018 	
-56 	 149 	 1011 	
-72 	 125 	 964 	
-92 	 139 	 970 	
-92 	 118 	 928 	
-67 	 111 	 921 	
-58 	 107 	 905 	
-46 	 115 	 964 	
-93 	 114 	 987 	
-90 	 135 	 1027 	
-110 	 124 	 1029 	
-92 	 120 	 1051 	
-40 	 121 	 1061 	
-66 	 127 	 1057 	
-102 	 137 	 1056 	
-102 	 150 	 1057 	
-113 	 150 	 1040 	
-82 	 139 	 998 	
-61 	 141 	 959 	
-70 	 137 	 946 	
-56 	 125 	 903 	
-48 	 114 	 884 	
-41 	 108 	 904 	
-38 	 119 	 952 	
-77 	 127 	 996 	
-88 	 138 	 1057 	
-111 	 134 	 1112 	
-96 	 134 	 1138 	
-83 	 141 	 1103 	
-85 	 150 	 1080 	
-72 	 134 	 1024 	
-67 	 147 	 1009 	
-67 	 136 	 948 	
-80 	 140 	 936 	
-55 	 131 	 936 	
-68 	 126 	 924 	
-47 	 128 	 928 	
-52 	 124 	 931 	
-72 	 133 	 960 	
-68 	 127 	 979 	
-89 	 126 	 1023 	
-87 	 124 	 1048 	
-75 	 130 	 1049 	
-78 	 151 	 1055 	
-83 	 167 	 1065 	
-85 	 153 	 1058 	
-68 	 170 	 1061 	
-60 	 155 	 1012 	
-42 	 137 	 975 	
-54 	 120 	 977 	
-40 	 120 	 954 	
-51 	 120 	 918 	
-68 	 125 	 901 	
-46 	 120 	 904 	
-56 	 122 	 975 	
-72 	 152 	 1061 	
-101 	 144 	 1075 	
-103 	 158 	 1118 	
-105 	 145 	 1134 	
-79 	 135 	 1102 	
-76 	 135 	 1038 	
-60 	 144 	 977 	
-80 	 127 	 906 	
-72 	 133 	 917 	
-71 	 143 	 919 	
-80 	 126 	 892 	
-51 	 133 	 950 	
-68 	 116 	 941 	
-64 	 120 	 960 	
-58 	 115 	 999 	
-74 	 124 	 1033 	
-97 	 141 	 1085 	
-107 	 159 	 1123 	
-118 	 151 	 1125 	
-83 	 161 	 1107 	
-61 	 142 	 1031 	
-49 	 144 	 996 	
-48 	 134 	 959 	
-46 	 135 	 933 	
-72 	 139 	 934 	
-69 	 127 	 916 	
-40 	 135 	 943 	
-73 	 134 	 942 	
-46 	 112 	 935 	
-44 	 116 	 1016 	
-82 	 116 	 1012 	
-72 	 130 	 1020 	
-83 	 141 	 1055 	
-102 	 134 	 1065 	
-86 	 137 	 1079 	
-84 	 145 	 1085 	
-77 	 144 	 1057 	
-46 	 136 	 1017 	
-65 	 156 	 1014 	
-49 	 143 	 952 	
-61 	 162 	 920 	
-52 	 154 	 892 	
-49 	 154 	 926 	
-51 	 121 	 935 	
-26 	 105 	 995 	
-29 	 104 	 1010 	
-42 	 105 	 1009 	
-72 	 107 	 1019 	
-91 	 118 	 1051 	
-108 	 123 	 1063 	
-100 	 140 	 1091 	
-116 	 142 	 1080 	
-84 	 148 	 1060 	
-81 	 149 	 1023 	
-64 	 144 	 967 	
-38 	 136 	 937 	
-43 	 135 	 945 	
-25 	 137 	 939 	
-32 	 143 	 924 	
-47 	 152 	 924 	
-55 	 153 	 976 	
-69 	 148 	 998 	
-72 	 134 	 1025 	
-65 	 121 	 1078 	
-69 	 103 	 1109 	
-92 	 117 	 1096 	
-89 	 130 	 1050 	
-97 	 137 	 1019 	
-87 	 151 	 1000 	
-61 	 146 	 936 	
-45 	 140 	 882 	
-2 	 117 	 852 	
2 	 126 	 893 	
-33 	 144 	 954 	
-48 	 161 	 1039 	
-100 	 164 	 1094 	
-102 	 162 	 1119 	
-79 	 147 	 1107 	
-58 	 150 	 1091 	
-57 	 147 	 1051 	
-57 	 140 	 1031 	
-55 	 141 	 1016 	
-59 	 134 	 966 	
-69 	 137 	 939 	
-50 	 127 	 919 	
-60 	 122 	 912 	
-34 	 123 	 911 	
-53 	 128 	 903 	
-55 	 117 	 913 	
-59 	 125 	 985 	
-77 	 124 	 1026 	
-42 	 134 	 1078 	
-77 	 141 	 1113 	
-53 	 148 	 1123 	
-86 	 161 	 1133 	
-78 	 149 	 1091 	
-60 	 157 	 1051 	
-52 	 143 	 992 	
-60 	 147 	 940 	
-53 	 147 	 890 	
-74 	 140 	 878 	
-44 	 143 	 889 	
-43 	 136 	 912 	
-50 	 128 	 944 	
-47 	 132 	 998 	
-68 	 119 	 1016 	
-62 	 121 	 1054 	
-61 	 118 	 1051 	
-70 	 129 	 1047 	
-73 	 154 	 1086 	
-80 	 159 	 1082 	
-102 	 165 	 1074 	
-58 	 160 	 1064 	
-58 	 148 	 1016 	
-34 	 154 	 976 	
-47 	 145 	 890 	
-67 	 145 	 848 	
-49 	 132 	 844 	
-50 	 119 	 910 	
-11 	 90 	 967 	
-19 	 96 	 1038 	
-33 	 88 	 1043 	
-55 	 104 	 1057 	
-89 	 112 	 1087 	
-75 	 131 	 1146 	
-91 	 136 	 1122 	
