STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-123 	 -554 	 813 	-28 	 -294 	 -163 	
-114 	 -556 	 876 	-30 	 -282 	 -174 	
-157 	 -479 	 881 	-28 	 -274 	 -177 	
-121 	 -469 	 892 	-28 	 -274 	 -177 	
-158 	 -476 	 823 	-28 	 -259 	 -171 	
-139 	 -455 	 889 	-31 	 -240 	 -186 	
-135 	 -360 	 949 	-30 	 -232 	 -178 	
-77 	 -381 	 931 	-31 	 -208 	 -186 	
-134 	 -367 	 916 	-31 	 -208 	 -186 	
-137 	 -295 	 902 	-28 	 -187 	 -181 	
-103 	 -261 	 977 	-28 	 -171 	 -190 	
-114 	 -235 	 953 	-33 	 -150 	 -189 	
-123 	 -209 	 972 	-18 	 -147 	 -187 	
-119 	 -172 	 965 	-18 	 -147 	 -187 	
-146 	 -70 	 1051 	-49 	 -141 	 -184 	
-120 	 -184 	 1069 	-36 	 -123 	 -183 	
-125 	 -165 	 988 	-40 	 -120 	 -186 	
-100 	 -132 	 974 	-37 	 -108 	 -169 	
-154 	 12 	 1063 	-37 	 -108 	 -169 	
-48 	 -121 	 993 	-51 	 -82 	 -166 	
-187 	 39 	 1053 	-43 	 -84 	 -175 	
-60 	 -50 	 904 	-33 	 -57 	 -163 	
-179 	 129 	 999 	-30 	 -36 	 -180 	
-154 	 74 	 996 	-9 	 -10 	 -172 	
-208 	 185 	 934 	-9 	 -10 	 -172 	
-207 	 47 	 907 	0 	 3 	 -159 	
-250 	 171 	 956 	15 	 28 	 -165 	
-352 	 252 	 959 	19 	 42 	 -144 	
-370 	 227 	 908 	46 	 54 	 -154 	
-393 	 204 	 900 	46 	 54 	 -154 	
-453 	 212 	 858 	75 	 43 	 -153 	
-505 	 287 	 960 	85 	 52 	 -151 	
-493 	 206 	 835 	94 	 57 	 -151 	
-426 	 7 	 796 	106 	 55 	 -148 	
-561 	 320 	 838 	106 	 55 	 -148 	
-371 	 248 	 796 	112 	 61 	 -144 	
-403 	 360 	 885 	93 	 66 	 -148 	
-437 	 359 	 875 	72 	 51 	 -145 	
-364 	 343 	 853 	66 	 60 	 -145 	
-342 	 342 	 864 	66 	 60 	 -145 	
-327 	 378 	 843 	63 	 61 	 -151 	
-273 	 352 	 881 	37 	 66 	 -151 	
-235 	 341 	 908 	21 	 58 	 -145 	
-297 	 411 	 901 	13 	 57 	 -150 	
-175 	 329 	 899 	-3 	 55 	 -147 	
-171 	 352 	 934 	-3 	 55 	 -147 	
-181 	 334 	 937 	-22 	 46 	 -138 	
-166 	 362 	 959 	-34 	 28 	 -138 	
-129 	 365 	 891 	-51 	 27 	 -138 	
-103 	 341 	 963 	-60 	 34 	 -127 	
-89 	 319 	 961 	-60 	 34 	 -127 	
-15 	 310 	 942 	-81 	 24 	 -130 	
-35 	 292 	 951 	-87 	 15 	 -114 	
-8 	 326 	 982 	-100 	 22 	 -114 	
50 	 282 	 926 	-109 	 19 	 -115 	
49 	 275 	 944 	-109 	 19 	 -115 	
40 	 263 	 936 	-118 	 18 	 -100 	
68 	 218 	 954 	-109 	 7 	 -109 	
73 	 179 	 940 	-115 	 19 	 -112 	
-94 	 198 	 1138 	-97 	 3 	 -111 	
-83 	 186 	 1025 	-97 	 3 	 -111 	
-67 	 84 	 1028 	-88 	 -4 	 -126 	
-79 	 99 	 973 	-76 	 -7 	 -132 	
-82 	 118 	 902 	-73 	 -18 	 -144 	
-33 	 70 	 1000 	-66 	 -27 	 -141 	
-125 	 114 	 986 	-66 	 -25 	 -142 	
-74 	 55 	 1034 	-37 	 -25 	 -142 	
-56 	 55 	 1014 	-48 	 -27 	 -142 	
-87 	 47 	 1024 	-54 	 -24 	 -160 	
573 	 -322 	 670 	-51 	 -28 	 -150 	
-251 	 34 	 1129 	-36 	 -18 	 -148 	
-123 	 23 	 1018 	-36 	 -18 	 -148 	
-82 	 9 	 984 	-39 	 -40 	 -145 	
-42 	 -12 	 1019 	-52 	 -46 	 -156 	
-59 	 -13 	 996 	-45 	 -37 	 -154 	
-34 	 1 	 1030 	-36 	 -49 	 -160 	
-32 	 -59 	 1007 	-36 	 -49 	 -160 	
-10 	 -19 	 1004 	-61 	 -40 	 -144 	
-54 	 -62 	 1001 	-63 	 -48 	 -142 	
-2 	 -14 	 1003 	-48 	 -40 	 -144 	
