A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
14.64 	 956.48 	 -54.168 	2.8 	 -12.67 	 2.45 	
-33.672 	 995.032 	 -71.736 	5.11 	 -8.47 	 3.92 	
-36.112 	 1025.78 	 -72.712 	3.85 	 -6.58 	 4.55 	
-25.864 	 1017.97 	 -68.808 	0.7 	 -8.82 	 9.73 	
-37.576 	 978.928 	 -65.392 	0.84 	 -11.06 	 14.42 	
-57.096 	 976 	 -57.584 	3.43 	 -18.27 	 19.81 	
-61.976 	 990.152 	 -57.584 	5.32 	 -31.78 	 22.82 	
-52.704 	 985.272 	 -69.296 	3.92 	 -45.08 	 23.45 	
-46.848 	 988.688 	 -67.832 	1.61 	 -62.16 	 24.01 	
59.048 	 986.248 	 -92.232 	-1.33 	 -72.66 	 21.21 	
112.24 	 980.392 	 -101.504 	-2.94 	 -71.82 	 17.5 	
187.392 	 993.08 	 -101.504 	-3.43 	 -60.9 	 12.6 	
186.904 	 970.632 	 -114.68 	-2.45 	 -40.67 	 6.72 	
167.872 	 970.632 	 -106.872 	0.35 	 -20.02 	 2.31 	
103.944 	 987.224 	 -101.992 	2.59 	 -5.39 	 -0.98 	
66.368 	 983.32 	 -93.208 	3.22 	 1.54 	 -3.64 	
122.488 	 980.392 	 -105.896 	4.69 	 3.85 	 -5.11 	
216.184 	 938.424 	 -108.336 	10.15 	 16.59 	 -8.12 	
321.592 	 850.096 	 -168.848 	20.37 	 53.69 	 -18.27 	
-93.696 	 967.704 	 -142.496 	32.34 	 75.74 	 -26.67 	
-563.152 	 1288.32 	 -79.544 	14.28 	 30.52 	 -1.47 	
-561.688 	 1109.22 	 -98.576 	-21.42 	 -70.98 	 24.43 	
20.496 	 950.624 	 -164.944 	-39.97 	 -141.33 	 32.48 	
598.288 	 884.744 	 -160.552 	-33.46 	 -135.17 	 27.09 	
962.336 	 691.008 	 -233.264 	-0.14 	 -17.92 	 -7.7 	
386.008 	 912.56 	 -236.192 	36.4 	 102.27 	 -32.97 	
-216.184 	 1158.02 	 -262.056 	36.82 	 145.53 	 -27.23 	
-957.456 	 1201.94 	 -3.416 	2.45 	 65.8 	 -1.82 	
-656.848 	 1190.72 	 -71.736 	-39.55 	 -86.8 	 21.91 	
371.856 	 798.856 	 -187.88 	-51.45 	 -167.65 	 26.39 	
1252.21 	 540.704 	 -270.352 	-12.95 	 -67.9 	 -0.28 	
446.52 	 904.264 	 -225.944 	41.37 	 90.16 	 -29.89 	
-290.848 	 1254.16 	 -208.376 	40.39 	 133 	 -23.59 	
-770.552 	 1118.01 	 -46.36 	5.32 	 54.81 	 -5.46 	
-366.976 	 1074.58 	 -75.64 	-19.81 	 -63.77 	 7.7 	
440.664 	 866.688 	 -151.768 	-22.33 	 -100.94 	 12.88 	
758.84 	 817.4 	 -219.6 	-0.49 	 -14.84 	 -3.36 	
34.648 	 1016.02 	 -159.088 	18.34 	 69.09 	 -12.95 	
-384.056 	 1135.09 	 -63.44 	8.75 	 52.99 	 -1.12 	
-241.072 	 1006.74 	 -30.744 	-5.18 	 -12.32 	 9.38 	
160.064 	 928.664 	 -101.504 	-8.82 	 -46.62 	 7.14 	
223.016 	 931.104 	 -126.88 	-2.59 	 -29.54 	 -0.28 	
108.336 	 997.472 	 -124.928 	1.68 	 -7.42 	 -3.64 	
