accX[mg]	accY[mg]	accZ[mg] 
613.172	-677.1	401.868
616.344	-693.936	406.504
607.804	-673.196	399.184
617.808	-687.104	402.6
612.684	-676.856	398.696
615.612	-686.372	413.092
610.244	-683.932	396.5
614.392	-681.004	401.624
610.976	-686.86	402.356
616.588	-679.052	407.968
614.148	-683.932	400.892
611.464	-682.956	405.772
613.66	-681.736	403.332
618.54	-690.52	403.332
611.464	-676.856	401.868
621.468	-685.64	404.308
612.684	-680.516	401.38
622.932	-684.42	408.212
609.756	-685.64	397.232
617.564	-679.296	409.188
608.048	-683.444	393.816
619.516	-682.468	406.26
610	-681.736	391.132
621.956	-689.3	409.432
610.488	-682.956	397.476
617.564	-688.812	403.576
616.1	-678.564	398.696
618.784	-685.64	402.356
610.244	-677.832	396.744
623.908	-690.032	393.816
611.464	-685.396	397.476
620.492	-676.124	396.256
619.516	-689.544	402.112
612.44	-683.444	402.112
624.396	-686.616	397.232
617.32	-685.396	394.06
618.54	-684.664	398.94
618.052	-681.736	398.696
619.76	-681.736	395.524
613.172	-684.664	389.424
619.272	-681.492	398.208
620.98	-683.932	395.036
617.076	-682.224	395.768
616.588	-679.54	394.304
619.272	-690.52	400.404
619.028	-684.908	397.964
617.564	-683.932	396.988
610.732	-689.056	401.868
613.416	-674.172	393.816
623.908	-685.396	401.868
612.44	-677.832	395.28
617.808	-684.908	399.428
612.684	-682.224	397.964
613.904	-685.64	398.696
617.564	-689.056	395.28
615.612	-683.932	397.72
619.516	-684.908	402.356
611.952	-685.152	397.476
617.564	-684.664	402.6
612.684	-684.908	392.596
616.344	-689.056	399.916
613.66	-681.736	396.988
617.808	-688.08	401.136
610.976	-681.98	394.06
617.564	-690.764	399.428
613.416	-688.812	399.916
615.612	-681.98	402.356
616.588	-687.592	401.624
611.708	-680.76	398.208
614.148	-687.836	398.94
609.268	-690.52	395.768
613.66	-682.224	399.428
619.028	-686.372	402.6
615.368	-686.372	401.868
612.196	-684.176	396.744
613.172	-682.956	400.892
616.588	-690.764	396.5
614.148	-680.028	401.38
619.272	-685.152	399.428
613.66	-685.884	400.648
614.636	-682.468	397.232
619.028	-689.3	400.404
608.78	-680.516	398.452
620.492	-684.42	402.6
611.708	-685.884	396.5
617.076	-682.468	395.524
614.636	-686.128	397.232
615.612	-687.836	401.38
611.464	-684.664	396.988
613.904	-684.176	401.624
614.148	-683.2	396.988
614.636	-687.348	402.6
616.588	-688.324	397.476
613.172	-682.956	395.28
618.54	-685.396	398.208
613.904	-683.688	395.28
614.636	-694.18	400.404
620.736	-685.396	394.792
614.148	-680.028	393.572
616.344	-690.032	400.892
611.464	-686.616	394.792
617.076	-686.616	389.668
617.32	-684.42	391.864
619.272	-687.592	392.596
614.88	-690.032	395.036
617.564	-686.86	397.476
617.32	-688.568	393.572
615.124	-688.08	394.304
614.148	-684.664	397.964
616.832	-687.348	391.132
617.564	-691.74	394.06
612.684	-684.908	393.328
612.928	-694.912	397.72
611.708	-685.396	396.012
619.516	-685.152	391.864
614.392	-684.664	392.352
618.54	-689.3	394.792
614.88	-690.52	392.596
612.928	-687.836	396.744
612.684	-687.104	396.256
615.856	-684.176	393.328
610	-691.008	397.964
615.612	-689.544	396.256
614.148	-684.664	394.06
618.052	-689.056	399.184
616.344	-678.564	388.936
620.248	-682.468	400.648
611.708	-684.176	390.156
624.396	-685.64	399.184
613.416	-679.784	395.28
625.616	-684.42	399.428
615.124	-684.42	396.012
620.98	-682.956	397.232
614.88	-686.372	394.06
617.808	-681.736	398.94
618.296	-682.224	399.916
615.612	-681.248	401.868
619.272	-683.932	396.988
617.564	-684.664	394.792
617.808	-681.98	399.184
616.344	-681.492	401.136
614.88	-682.224	397.72
619.272	-683.444	400.892
607.56	-685.396	392.352
623.42	-682.956	408.212
609.024	-683.932	393.084
619.028	-686.86	405.772
615.368	-688.08	398.452
613.904	-688.324	403.82
615.368	-682.712	399.916
615.368	-684.42	398.94
614.392	-686.372	399.184
613.904	-682.956	401.624
614.392	-686.616	399.184
610	-681.492	400.648
614.148	-690.276	402.844
614.636	-683.2	396.256
616.1	-691.008	406.016
610.976	-684.664	397.232
613.66	-683.932	402.6
611.708	-688.324	400.648
610.244	-678.32	401.624
616.344	-690.764	404.064
608.78	-686.128	400.16
614.88	-688.324	401.624
607.316	-678.32	400.404
619.516	-681.492	410.408
608.048	-682.956	393.328
615.612	-689.544	405.284
609.024	-685.396	397.964
611.952	-691.496	399.672
615.124	-679.784	403.82
614.392	-682.956	404.308
608.048	-686.372	402.112
616.344	-688.324	404.552
613.416	-679.296	399.916
613.172	-679.54	401.136
612.928	-685.152	407.48
610	-688.08	399.916
616.588	-682.468	401.868
618.296	-683.688	398.208
613.904	-685.396	401.624
610	-684.908	404.552
615.368	-685.152	405.772
610.488	-687.104	395.28
613.904	-681.492	400.892
615.368	-688.324	399.672
610.732	-678.32	399.916
622.444	-690.276	404.796
612.684	-683.688	395.768
615.612	-684.908	408.7
609.756	-687.348	401.38
616.344	-686.372	403.576
614.148	-686.616	398.696
613.416	-685.884	400.892
610.976	-684.908	401.136
616.1	-685.396	395.524
615.368	-686.372	399.184
610.244	-691.984	400.648
616.832	-683.688	403.82
608.292	-681.492	398.452
613.904	-687.592	400.16
614.636	-680.516	400.16
610.244	-688.568	393.572
612.196	-683.688	394.06
614.148	-687.348	397.964
612.684	-684.664	401.624
613.66	-686.86	399.672
609.268	-682.224	402.112
611.952	-689.3	399.916
612.196	-679.54	396.5
613.66	-684.664	399.916
614.636	-686.86	404.064
614.636	-681.736	397.72
618.052	-685.152	398.452
616.1	-687.348	397.964
614.148	-687.592	399.916
616.832	-682.468	400.404
613.172	-688.812	400.648
617.076	-681.736	402.112
614.148	-682.224	403.82
618.052	-685.152	401.868
608.292	-680.76	397.476
621.956	-687.348	403.332
611.22	-683.2	397.232
619.516	-684.908	400.404
615.612	-684.664	401.868
611.22	-677.832	393.328
615.856	-683.932	404.308
614.636	-680.76	400.404
617.076	-687.104	397.232
621.224	-679.296	399.672
612.196	-687.104	396.988
616.832	-683.688	404.552
614.88	-686.372	396.256
618.052	-677.1	398.94
615.124	-682.468	398.452
615.124	-683.932	399.916
616.344	-687.104	395.768
616.832	-689.544	402.6
612.44	-685.64	396.5
605.12	-678.808	405.04
620.736	-685.152	401.868
613.172	-692.716	396.988
615.368	-685.152	402.356
608.536	-691.496	400.16
610.488	-681.98	406.26
613.66	-682.224	398.94
617.076	-687.592	399.916
606.34	-684.664	400.404
610	-686.86	403.82
616.588	-690.764	400.404
607.316	-689.544	401.868
616.1	-682.712	402.356
611.464	-679.784	400.16
611.952	-691.252	405.284
609.024	-684.42	394.06
614.636	-683.932	409.432
609.024	-685.152	399.428
612.44	-686.372	405.772
615.368	-684.176	404.064
609.268	-689.056	402.6
615.124	-682.956	400.648
611.708	-687.836	402.356
612.196	-686.86	403.332
612.196	-684.42	404.064
611.22	-685.152	399.672
615.124	-681.492	400.648
607.56	-692.716	407.968
610.244	-685.64	403.332
615.612	-685.64	407.236
612.44	-678.32	399.184
614.636	-686.372	405.772
612.44	-682.468	397.476
611.708	-688.812	400.648
614.88	-682.956	405.284
610.488	-685.396	399.672
616.832	-688.324	406.748
608.292	-680.76	392.352
620.492	-690.032	406.504
611.708	-683.2	395.524
618.784	-687.836	402.6
612.928	-685.152	397.476
613.172	-689.3	396.744
614.636	-683.688	397.476
615.124	-690.52	403.088
617.076	-684.908	396.256
606.584	-681.492	397.964
616.1	-689.056	399.916
610	-687.592	394.792
612.684	-689.3	403.332
611.708	-689.788	394.304
612.196	-694.424	396.012
612.928	-689.056	397.964
614.88	-686.128	396.988
609.024	-688.812	397.72
614.636	-687.592	396.256
612.928	-692.96	395.524
681.98	-318.908	631.716
695.156	-327.692	627.812
702.232	-303.292	634.644
708.332	-284.748	633.18
723.704	-283.04	649.528
718.336	-303.292	657.336
704.672	-305.488	620.492
693.692	-320.372	630.252
718.092	-307.684	642.208
697.84	-297.192	632.448
711.016	-305	657.824
699.304	-305.244	645.38
703.696	-322.568	647.088
708.576	-309.88	625.128
706.136	-308.416	641.964
710.528	-294.752	640.012
696.376	-302.316	643.672
709.064	-313.784	656.848
701.5	-305.488	635.132
696.62	-305.488	644.404
702.964	-290.116	650.016
709.064	-305.976	646.112
709.796	-294.508	630.496
700.036	-317.444	644.404
703.452	-300.608	649.528
696.864	-315.004	645.136
712.968	-298.656	642.208
697.596	-295.484	639.768
711.992	-315.492	651.48
701.988	-302.56	634.4
704.672	-320.86	651.968
704.428	-302.316	636.352
698.572	-307.196	644.892
702.232	-308.172	645.868
704.428	-309.88	645.868
701.012	-305.244	638.792
701.012	-317.932	654.408
709.064	-304.756	636.596
704.916	-315.492	639.524
708.088	-306.22	642.696
692.96	-314.272	641.232
703.452	-313.052	647.82
707.6	-315.004	639.036
704.184	-314.272	640.988
705.648	-312.808	640.012
702.476	-311.1	634.4
706.38	-310.856	632.692
711.992	-316.956	628.056
701.744	-318.908	635.62
709.308	-318.176	646.6
703.208	-314.76	634.644
716.14	-313.54	630.74
716.628	-316.712	631.96
701.988	-321.836	633.668
706.136	-314.272	635.132
711.992	-314.516	628.3
711.016	-311.1	623.908
718.336	-318.176	630.984
718.092	-316.468	628.056
