@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
-1.00391, 0.0466614, -0.0626221, SM
-1.06445, 0.0747681, -0.118042, SM
-0.94043, 0.0407715, -0.0619507, SM
-1.02246, 0.0330505, -0.0417175, SM
-1.0127, 0.0640259, -0.0326538, SM
-0.958496, -0.0614014, 0.117737, SM
-0.824707, -0.268555, 0.402832, SM
-0.950684, -0.285645, 0.351074, SM
-0.956055, 0.116577, 0.172729, SM
-0.937988, 0.338379, 0.0776367, SM
-1.00781, 0.0727539, 0.185181, SM
-1, -0.034729, 0.182007, SM
-0.975586, 0.155518, 0.120239, SM
-0.985352, 0.111511, 0.0889893, SM
-0.992188, 0.0857544, 0.0718384, SM
-0.984863, -0.034729, -0.0208588, SM
-1.00781, -0.129761, -0.15979, SM
-0.966797, -0.191528, -0.260254, SM
-0.992676, -0.0092926, -0.170654, SM
-0.992188, 0.0678101, -0.0824585, SM
-1.0459, 0.0467529, -0.0638428, SM
-0.952148, 0.0393677, -0.0274353, SM
-1.0332, -0.0616455, -0.0348206, SM
-0.958496, -0.0758057, 0.0653076, SM
-1.00977, -0.248291, 0.0834351, SM
-0.94043, -0.165771, 0.187256, SM
-0.978516, -0.263916, 0.144531, SM
-0.885742, -0.277832, 0.195679, SM
-1, -0.259033, 0.0947266, SM
-0.993164, -0.149292, -0.0151443, SM
-0.979492, -0.185059, -0.0365295, SM
-0.992188, -0.146729, -0.105835, SM
-1.00488, -0.177979, -0.00593948, SM
-1.00293, 0.112793, -0.0855713, SM
-0.996094, -0.181763, -0.0899048, SM
-0.91748, -0.377197, 0.0244141, SM
-0.904297, -0.42627, -0.0688477, SM
-0.970703, -0.253418, -0.119507, SM
-0.98291, -0.127197, -0.0779419, SM
-0.98877, 0.0543213, -0.187622, SM
-0.995117, 0.00797272, -0.209717, SM
-1.00488, 0.0419006, -0.244263, SM
-0.92627, 0.0570374, -0.209595, SM
-0.927734, 0.140869, -0.242188, SM
-1.00977, 0.0813599, -0.304443, SM
-0.949707, -0.0133743, -0.328125, SM
-0.962891, -0.0224152, -0.303223, SM
-0.97998, 0.0353394, -0.29248, SM
-0.962402, 0.0726318, -0.157471, SM
-0.950684, 0.0861206, -0.126343, SM
-1.00488, 0.0566406, -0.204834, SM
-0.974609, 0.0035553, -0.303223, SM
-1.01465, 0.125488, -0.257568, SM
-0.910156, 0.125488, -0.225586, SM
-0.944336, 0.00597, -0.347168, SM
-0.894531, -0.119995, -0.459717, SM
-0.938965, -0.107544, -0.407715, SM
-0.946777, 0.052948, 0.069458, SM
-0.919922, -0.0237885, 0.471924, SM
-0.87793, -0.219482, 0.415771, SM
-0.907715, -0.344238, 0.230591, SM
-0.936035, -0.339111, 0.125977, SM
-0.897461, -0.466553, -0.140137, SM
-0.879395, -0.46167, -0.229004, SM
-0.870605, -0.437988, -0.201538, SM
-0.930664, -0.370117, -0.187012, SM
-0.983398, -0.0418091, -0.177856, SM
-0.950684, 0.175903, -0.276855, SM
-0.953125, 0.0993652, -0.283691, SM
-0.962891, 0.0627441, -0.299805, SM
