#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39757070,0.14,-0.91,-1.19,1.001,0.003,-0.008,
39757090,0.21,-0.49,-0.84,1.001,0.002,-0.008,
39757110,0.35,-0.42,-0.35,1,0.002,-0.005,
39757130,0.07,-1.12,0,1,0.002,-0.005,
39757150,-0.14,-1.47,0.28,1.002,0.001,-0.009,
39757170,-0.07,-1.05,0.21,1.001,0.001,-0.007,
39757190,-0.07,-0.98,0.14,1,0,-0.007,
39757210,0,-1.05,-0.07,1.001,0.001,-0.01,
39757230,0.42,-0.14,-0.07,1.003,0,-0.007,
39757250,0.35,0.28,-0.21,1.002,0.001,-0.008,
39757260,0.21,0.7,-0.21,1,0.001,-0.004,
39757280,-0.07,0.49,-0.21,1,0,-0.005,
39757300,0.21,0.07,0.07,1.002,0,-0.007,
39757320,0.7,0.42,0.28,1.001,0,-0.006,
39757340,0.84,0.91,0.21,1.001,0.001,-0.004,
39757360,0.77,1.47,0.14,1.002,0.002,-0.004,
39757380,0.63,1.75,0.21,1,0,-0.003,
39757400,0.7,1.47,0.07,1.002,0,-0.004,
39757420,1.4,1.96,0,1.002,0,-0.002,
39757440,1.82,2.59,-0.21,1.002,0,0,
39757460,1.47,2.31,-0.98,1.001,0,0.003,
39757480,0.77,1.68,-1.19,1.003,0.002,0,
39757500,0.84,1.82,-0.7,1.002,0,0.003,
39757510,0.98,1.75,-0.49,0.999,0.001,0.003,
39757530,0.42,0.91,-0.98,1,0,0.005,
39757550,0.14,-0.28,-1.19,1.001,0.001,0.004,
39757570,0.42,-0.98,-0.98,1.002,-0.002,0.006,
39757590,0.28,-1.47,-1.75,0.999,0.004,-0.001,
39757610,1.19,-0.49,0,0.999,0.002,0.006,
39757630,0.7,-0.42,0.21,1.001,0.002,0.003,
39757650,0.56,-0.07,0,1.003,0.001,0.003,
39757670,0.56,0.07,-0.14,0.999,0.002,0.005,
39757690,0.28,-0.42,-0.07,0.999,0.002,0.006,
39757710,0.07,-0.7,-0.14,1.002,0.002,0.004,
39757730,0.07,-0.7,-0.14,1.002,0.002,0.004,
39757750,0.21,-0.56,0.07,1.001,0.001,0.004,
39757760,0.28,-0.98,0.14,1.001,0.002,0.004,
39757780,0.42,-1.12,0.21,1,0.001,0.004,
39757800,0.42,-1.33,0.35,1.001,0.001,0.003,
39757820,0.49,-1.05,0.42,1.002,0,0.003,
39757840,0.77,-0.77,0.63,1,0,0.004,
39757860,0.56,-1.47,0.7,0.998,0,0.006,
39757880,-0.14,-2.17,0.77,1.004,0.001,0.001,
39757900,0.42,-0.98,1.26,1.002,-0.001,0,
39757920,1.47,0.56,1.68,1.001,0,0.004,
39757940,1.61,0.98,2.38,0.998,0,0.002,
39757960,2.66,2.45,3.15,0.999,0,0.003,
39757980,2.87,3.29,2.8,1.003,-0.007,0.008,
39758000,1.96,2.66,1.47,1,-0.005,0.01,
39758010,1.05,0.7,0.91,1.002,-0.006,0.01,
39758030,0.7,-0.84,0.56,1.002,-0.006,0.008,
39758050,0.56,-1.33,0.49,1,-0.006,0.007,
39758070,0.56,-1.26,0.35,1.001,-0.005,0.008,
39758090,0.77,-0.91,0.35,1.003,-0.006,0.005,
39758110,1.4,0.07,0.14,1,-0.005,0.009,
39758130,1.19,0.56,0.07,1.001,-0.006,0.008,
39758150,0.63,0.14,0.35,1,-0.005,0.011,
39758170,0.42,-0.42,1.4,1.002,0,0.007,
39758190,1.4,0.7,3.5,1,-0.011,0.01,
39758210,1.12,0.98,3.01,1.001,-0.011,0.011,
39758230,0.56,0.77,3.36,0.997,0.005,0,
39758250,0.77,1.05,4.48,1.004,-0.029,0.021,
39758260,0.14,-0.77,0.77,1.002,-0.013,0.011,
39758280,0.28,-1.47,0.56,1,-0.014,0.011,
39758300,0.07,-2.24,0.49,1.001,-0.013,0.011,
39758320,-0.14,-2.24,0.21,0.999,-0.014,0.009,
39758340,-0.07,-1.82,-0.21,1.003,-0.012,0.009,
39758360,-0.28,-1.4,-0.35,1.001,-0.014,0.009,
39758380,-0.56,-1.61,-0.49,1.001,-0.014,0.009,
39758400,-0.63,-1.75,-0.56,1,-0.013,0.009,
39758420,-0.63,-1.68,-0.63,1.001,-0.012,0.008,
39758440,-0.63,-1.12,-0.56,1.001,-0.013,0.008,
39758460,-0.63,-1.12,-0.56,1.001,-0.013,0.008,
39758480,-0.49,-0.35,-0.28,0.999,-0.012,0.009,
39758500,-0.42,-0.63,0.21,0.998,-0.013,0.009,
39758510,-0.84,-2.24,0.28,1.003,-0.014,0.009,
39758530,-1.33,-2.73,-0.07,1.001,-0.014,0.006,
39758550,-1.12,-2.38,0.14,0.999,-0.012,0.007,
39758570,-0.91,-2.24,0.84,1,-0.013,0.006,
39758590,-0.77,-2.52,0.91,1.001,-0.016,0.006,
39758610,-0.77,-3.43,0.42,1.001,-0.017,0.005,
39758630,-0.98,-3.57,-0.28,1.002,-0.015,0.004,
39758650,-1.33,-3.5,-0.35,1,-0.012,0.007,
39758670,-2.03,-4.13,0.07,1,-0.017,-0.001,
39758690,-1.26,-3.5,0.07,1.002,-0.015,0,
39758710,-0.98,-2.59,-0.07,1.003,-0.015,0,
39758730,-1.05,-1.96,-0.14,1,-0.015,0,
39758750,-1.19,-2.03,-0.07,1.001,-0.015,0,
39758760,-1.05,-1.75,0.21,1.001,-0.016,-0.001,
39758780,-0.63,-1.33,0.42,1.002,-0.017,-0.001,
39758800,-0.49,-1.26,0,1.001,-0.016,0,
39758820,-0.7,-1.47,-0.07,1.001,-0.017,-0.001,
39758840,-0.49,-1.26,0,1.001,-0.014,-0.001,
39758860,-0.42,-1.19,0.35,1,-0.015,-0.002,
39758880,-0.21,-1.68,0.21,1.002,-0.018,-0.001,
